prefecture,population,area,dencity
北海道,5320523,78420.77,67.85
青森県,1278450,9645.56,132.54
岩手県,1254807,15275.01,82.15
宮城県,2322024,7282.22,318.86
秋田県,995380,11637.52,85.53
山形県,1101452,9323.15,118.14
福島県,1882666,13783.74,136.59
茨城県,2896675,6097.12,475.09
栃木県,1961963,6408.09,306.17
群馬県,1958409,6362.28,307.82
埼玉県,7307579,3797.75,1924.19
千葉県,6255876,5157.64,1212.93
東京都,13742906,2191,6272.44
神奈川県,9161139,2415.92,3791.99
新潟県,2266121,12584.18,180.08
富山県,1055893,4247.61,248.59
石川県,1147447,4186.09,274.11
福井県,778329,4190.49,185.74
山梨県,823580,4465.27,184.44
長野県,2076017,13561.56,153.08
岐阜県,2010698,10621.29,189.31
静岡県,3673401,7777.43,472.32
愛知県,7526911,5172.9,1455.07
三重県,1798886,5774.41,311.53
滋賀県,1412956,4017.38,351.71
京都府,2599313,4612.19,563.57
大阪府,8831642,1905.14,4635.69
兵庫県,5502987,8400.93,655.04
奈良県,1348257,3690.94,365.29
和歌山県,944320,4724.71,199.87
鳥取県,565233,3507.13,161.17
島根県,684668,6708.24,102.06
岡山県,1908447,7114.47,268.25
広島県,2830069,8479.47,333.76
山口県,1381584,6112.34,226.03
徳島県,743356,4146.79,179.26
香川県,967640,1876.73,515.6
愛媛県,1363907,5676.19,240.29
高知県,713465,7103.93,100.43
福岡県,5110338,4986.4,1024.86
佐賀県,823620,2440.68,337.46
長崎県,1353550,4132.2,327.56
熊本県,1765518,7409.44,238.28
大分県,1151853,6340.74,181.66
宮崎県,1088136,7735.31,140.67
鹿児島県,1624801,9186.99,176.86
沖縄県,1443802,2281.14,632.93
